time in s,power in W
0,42.0
900,42.0
1800,42.0
2700,42.0
3600,42.0
4500,42.0
5400,42.0
6300,42.0
7200,42.0
8100,42.0
9000,42.0
9900,42.0
10800,42.0
11700,42.0
12600,42.0
13500,42.0
14400,42.0
15300,42.0
16200,42.0
17100,42.0
18000,42.0
18900,42.0
19800,42.0
20700,42.0
21600,42.0
22500,42.0
23400,42.0
24300,42.0
25200,42.0
26100,54.0
27000,168.02888099980635
27900,2069.4281376357194
28800,200.02888099980635
29700,200.02888099980635
30600,1050.7197979667567
31500,1050.7197979667567
32400,117.02888099980635
33300,117.02888099980635
34200,77.02888099980635
35100,77.02888099980635
36000,63.0
36900,63.0
37800,201.02888099980635
38700,209.02888099980635
39600,2277.0100865854292
40500,1215.7486789665631
41400,3245.729884552186
42300,42.0
43200,42.0
44100,42.0
45000,42.0
45900,42.0
46800,42.0
47700,42.0
48600,42.0
49500,42.0
50400,42.0
51300,42.0
52200,42.0
53100,42.0
54000,42.0
54900,42.0
55800,42.0
56700,42.0
57600,42.0
58500,96.02888099980635
59400,56.028880999806354
60300,2126.0100865854292
61200,56.028880999806354
62100,168.02888099980635
63000,68.02888099980635
63900,168.02888099980635
64800,80.02888099980635
65700,68.02888099980635
66600,80.02888099980635
67500,206.02888099980635
68400,1102.6248568576943
69300,56.028880999806354
70200,138.02888099980635
71100,165.02888099980635
72000,42.0
72900,42.0
73800,2074.0100865854292
74700,255.55922716379024
75600,2099.6859430159775
76500,305.55922716379024
77400,251.5303461639839
78300,188.02888099980635
79200,42.0
80100,42.0
81000,42.0
81900,42.0
82800,42.0
83700,42.0
84600,42.0
85500,42.0
86400,42.0
87300,42.0
88200,42.0
89100,42.0
90000,42.0
90900,42.0
91800,42.0
92700,42.0
93600,42.0
94500,42.0
95400,42.0
96300,42.0
97200,42.0
98100,42.0
99000,42.0
99900,42.0
100800,42.0
101700,42.0
102600,42.0
103500,42.0
104400,42.0
105300,42.0
106200,42.0
107100,42.0
108000,42.0
108900,126.94903243696041
109800,106.94903243696041
110700,106.94903243696041
111600,166.9490324369604
112500,226.9490324369604
113400,106.94903243696041
114300,175.9490324369604
115200,1909.9042359967866
116100,174.9490324369604
117000,255.9490324369604
117900,306.9490324369604
118800,306.9490324369604
119700,206.9490324369604
120600,194.9490324369604
121500,266.9490324369604
122400,126.94903243696041
123300,2216.024796726079
124200,226.9490324369604
125100,246.9490324369604
126000,311.12202266568636
126900,382.12202266568636
127800,313.12202266568636
128700,2162.1468193917653
129600,277.9490324369604
130500,268.9490324369604
131400,216.0
132300,178.9490324369604
133200,2484.9843656658054
134100,338.9490324369604
135000,2572.9843656658054
135900,2226.973829163039
136800,42.0
137700,42.0
138600,42.0
139500,42.0
140400,149.9490324369604
141300,149.9490324369604
142200,2081.973829163039
143100,129.0
144000,2387.9843656658054
144900,321.9490324369604
145800,261.9490324369604
146700,381.9490324369604
