time in s,power in W
0,40.0
900,40.0
1800,40.0
2700,40.0
3600,40.0
4500,40.0
5400,40.0
6300,40.0
7200,40.0
8100,40.0
9000,40.0
9900,40.0
10800,40.0
11700,40.0
12600,40.0
13500,40.0
14400,40.0
15300,40.0
16200,40.0
17100,40.0
18000,40.0
18900,40.0
19800,40.0
20700,40.0
21600,40.0
22500,40.0
23400,52.4077423378845
24300,364.4077423378845
25200,2287.4077423378844
26100,144.40774233788449
27000,132.0
27900,152.0
28800,132.0
29700,2182.5240916146295
30600,511.33838269985426
31500,446.5801463554859
32400,1972.6428716681742
33300,1489.6428716681742
34200,3460.642871668174
35100,1395.1654125097941
36000,526.5801463554859
36900,238.0818983145936
37800,226.0818983145936
38700,346.08189831459356
39600,2213.188734338102
40500,364.24176365563164
41400,444.64950599351613
42300,393.64950599351613
43200,382.10617626938415
44100,382.10617626938415
45000,502.5801463554859
45900,495.5801463554859
46800,414.5801463554859
47700,438.9878886933704
48600,2423.967099810858
49500,2369.8852014962645
50400,338.88520149626464
51300,302.47745915838016
52200,302.47745915838016
53100,244.40774233788449
54000,294.4077423378845
54900,354.4077423378845
55800,471.4077423378845
56700,150.0
57600,192.628717111004
58500,2347.628717111004
59400,2387.649505993516
60300,547.1269651518962
61200,606.9878886933705
62100,516.7669139202509
63000,506.7669139202509
63900,558.9878886933705
64800,543.5801463554859
65700,462.7192228140118
66600,342.10617626938415
67500,483.9878886933704
68400,345.96709981085826
69300,705.9878886933705
70200,2501.580146355486
71100,750.9878886933705
72000,2654.955648258353
72900,535.2894547618707
73800,610.9878886933705
74700,3754.871767243258
75600,630.9878886933705
76500,696.1269651518962
77400,565.9670998108583
78300,2428.2686658793587
79200,423.8609235414741
80100,375.8609235414741
81000,387.8609235414741
81900,292.0
82800,112.0
83700,112.0
84600,112.0
85500,40.0
86400,40.0
87300,40.0
88200,40.0
89100,40.0
90000,40.0
90900,40.0
91800,40.0
92700,40.0
93600,40.0
94500,40.0
95400,40.0
96300,40.0
97200,40.0
98100,40.0
99000,40.0
99900,40.0
100800,40.0
101700,40.0
102600,40.0
103500,40.0
104400,40.0
105300,40.0
106200,40.0
107100,40.0
108000,40.0
108900,40.0
109800,40.0
110700,40.0
111600,2970.9885275983897
112500,1182.0660445804797
113400,2214.7218148861375
114300,2173.716670634699
115200,2156.0117405752057
116100,2148.0117405752057
117000,2119.8785034140997
117900,283.2767786532309
118800,283.2767786532309
119700,323.2767786532309
120600,311.8667628388939
121500,2131.0
122400,2160.927627269349
123300,207.0
124200,564.9868529641627
125100,112.0
126000,112.0
126900,289.0
127800,112.0
128700,607.0
129600,40.0
130500,40.0
131400,40.0
132300,40.0
133200,40.0
134100,40.0
135000,40.0
135900,224.66095045568227
136800,288.66095045568227
137700,356.66095045568227
138600,507.9027396583063
139500,2498.685670472161
140400,2477.6078134806603
141300,2357.1989216617303
142200,369.2767786532309
143100,343.19266534737443
144000,391.7111983063387
144900,446.7111983063387
145800,303.410015814337
146700,2949.223641678209
147600,2369.5237001748037
148500,2379.275654657824
149400,2584.9868529641626
150300,1627.0528975446425
151200,10745.234800365946
152100,565.9868529641627
153000,2448.8252226762165
153900,591.9027396583062
154800,593.9868529641627
155700,757.4212726172705
156600,568.4212726172705
157500,600.4212726172705
158400,2365.7100743109318
159300,270.7100743109319
160200,276.79418761678835
161100,304.79418761678835
162000,284.79418761678835
162900,178.08411330585648
163800,341.0
164700,284.0
165600,771.0
166500,40.0
167400,40.0
168300,40.0
169200,40.0
170100,40.0
171000,40.0
171900,40.0
172800,40.0
173700,40.0
174600,40.0
175500,40.0
176400,40.0
177300,40.0
178200,40.0
179100,40.0
180000,40.0
180900,40.0
181800,40.0
182700,40.0
183600,40.0
184500,40.0
185400,40.0
186300,40.0
187200,40.0
188100,40.0
189000,40.0
189900,40.0
190800,40.0
191700,40.0
192600,40.0
193500,40.0
194400,40.0
195300,40.0
196200,40.0
197100,112.0
198000,2104.0
198900,136.12362147081234
199800,246.12362147081234
200700,2085.717579971168
201600,2195.717579971168
202500,246.12362147081234
203400,506.12362147081234
204300,329.12362147081234
205200,3844.8488378559596
206100,3923.713800088199
207000,3459.508803827282
207900,414.0
208800,374.12362147081234
209700,353.12362147081234
210600,377.12362147081234
211500,289.0
212400,112.0
213300,112.0
214200,607.0
215100,40.0
216000,40.0
216900,40.0
217800,40.0
218700,40.0
219600,40.0
220500,40.0
221400,40.0
222300,40.0
223200,40.0
224100,40.0
225000,40.0
225900,40.0
226800,40.0
227700,40.0
228600,40.0
229500,40.0
230400,40.0
231300,40.0
232200,52.123621470812324
233100,401.32324281946273
234000,332.0
234900,2315.0
235800,392.0
236700,372.0
237600,423.0
238500,1556.7057811320492
239400,1649.010259994333
240300,591.271436128518
241200,414.50145616705095
242100,385.3044788622837
243000,2270.3044788622838
243900,2230.695822464708
244800,342.6958224647076
245700,11227.210471578868
246600,539.1478146577056
247500,559.1478146577056
248400,10990.744669152693
249300,443.19697730476724
250200,289.0
251100,40.0
252000,40.0
252900,40.0
253800,40.0
254700,40.0
255600,40.0
256500,40.0
257400,40.0
258300,40.0
259200,40.0
260100,40.0
261000,40.0
261900,40.0
262800,40.0
263700,40.0
264600,40.0
265500,40.0
266400,40.0
267300,40.0
268200,40.0
269100,40.0
270000,40.0
270900,40.0
271800,40.0
272700,40.0
273600,40.0
274500,40.0
275400,40.0
276300,40.0
277200,40.0
278100,40.0
279000,40.0
279900,40.0
280800,40.0
281700,40.0
282600,40.0
283500,2087.968007123405
284400,64.08541281279923
285300,124.08541281279923
286200,228.08541281279923
287100,3342.6142272244206
288000,1511.6996400372195
288900,378.08541281279923
289800,287.08541281279923
290700,278.08541281279923
291600,552.313599365223
292500,624.6353520608052
293400,654.6353520608052
294300,545.6353520608052
295200,669.6353520608052
296100,2614.7207648736044
297000,112.0
297900,112.0
298800,112.0
299700,112.0
300600,289.0
301500,112.0
302400,112.0
303300,40.0
304200,40.0
305100,40.0
306000,40.0
306900,40.0
307800,370.12144113015836
308700,40.0
309600,40.0
310500,40.0
311400,40.0
312300,40.0
313200,40.0
314100,40.0
315000,40.0
315900,40.0
316800,40.0
317700,40.0
318600,40.0
319500,40.0
320400,40.0
321300,40.0
322200,40.0
323100,40.0
324000,40.0
324900,40.0
325800,40.0
326700,40.0
327600,2285.1214411301585
328500,4321.004035440765
329400,465.72076487360437
330300,278.6847365562453
331200,454.017261822567
332100,566.6353520608052
333000,309.50319148561357
333900,492.1025152290597
334800,686.7207648736044
335700,485.30298620079
336600,2341.599323743446
337500,418.599323743446
338400,370.6847365562453
339300,406.6847365562453
340200,112.0
341100,112.0
342000,112.0
342900,112.0
343800,40.0
344700,40.0
345600,40.0
346500,40.0
347400,40.0
348300,40.0
349200,40.0
350100,40.0
351000,40.0
351900,40.0
352800,40.0
353700,40.0
354600,40.0
355500,40.0
356400,40.0
357300,40.0
358200,40.0
359100,40.0
360000,40.0
360900,40.0
361800,40.0
362700,40.0
363600,40.0
364500,40.0
365400,40.0
366300,40.0
367200,40.0
368100,40.0
369000,231.20124192701235
369900,184.6580333287539
370800,2299.658033328754
371700,2095.0
372600,216.6580333287539
373500,216.6580333287539
374400,232.0
375300,112.0
376200,112.0
377100,112.0
378000,112.0
378900,40.0
379800,40.0
380700,40.0
381600,40.0
382500,40.0
383400,40.0
384300,40.0
385200,40.0
386100,40.0
387000,40.0
387900,40.0
388800,40.0
389700,40.0
390600,40.0
391500,40.0
392400,40.0
393300,40.0
394200,40.0
395100,40.0
396000,40.0
396900,52.0
397800,2032.625942042545
398700,112.45679140174155
399600,136.45679140174155
400500,184.45679140174155
401400,4389.615088659342
402300,4437.158297257601
403200,112.0
404100,112.0
405000,112.0
405900,112.0
406800,112.0
407700,112.0
408600,112.0
409500,112.0
410400,224.20124192701235
411300,2127.2012419270122
412200,168.6580333287539
413100,260.6580333287539
414000,2241.2839753712988
414900,196.45679140174155
415800,124.0
416700,2293.625942042545
417600,124.0
418500,666.4567914017416
419400,259.45679140174155
420300,199.45679140174155
421200,2154.4567914017416
422100,2242.0
423000,267.1873145525109
423900,431.6441059542524
424800,291.6441059542524
425700,470.26108914676735
426600,458.26108914676735
427500,735.2610891467673
428400,1018.2610891467673
429300,343.0737745942565
430200,136.45679140174155
431100,40.0
432000,40.0
432900,40.0
433800,40.0
434700,40.0
435600,40.0
436500,40.0
437400,40.0
438300,40.0
439200,40.0
440100,40.0
441000,40.0
441900,40.0
442800,40.0
443700,40.0
444600,40.0
445500,40.0
446400,40.0
447300,40.0
448200,40.0
449100,40.0
450000,40.0
450900,40.0
451800,40.0
452700,40.0
453600,40.0
454500,40.0
455400,40.0
456300,40.0
457200,172.21547176577707
458100,112.21547176577708
459000,129.0856270691197
459900,224.9606260045068
460800,556.8336333210613
461700,419.9443610376686
462600,347.9443610376686
463500,2639.533389121821
464400,1274.7807907923932
465300,396.0
466200,112.0
467100,112.0
468000,112.0
468900,292.0
469800,2246.2057594536095
470700,691.0
471600,184.21547176577707
472500,256.21547176577707
473400,2266.2154717657772
474300,511.08847908233156
475200,559.0884790823316
476100,500.10474404916977
477000,520.1047440491698
477900,461.97489935251235
478800,421.97489935251235
479700,469.97489935251235
480600,650.2928167085565
481500,488.83363332106126
482400,419.74800625194155
483300,591.7480062519415
484200,2562.7480062519417
485100,491.74800625194155
486000,344.88927228339264
486900,2139.8050678101717
487800,3977.0108272637813
488700,285.0904707011641
489600,598.0904707011641
490500,341.0904707011641
491400,900.0904707011641
492300,698.0630715947739
493200,2323.9606260045066
494100,463.9443610376686
