time in s,power in W
0,53.0
900,53.0
1800,53.0
2700,67.38667138685705
3600,53.0
4500,53.0
5400,53.0
6300,53.0
7200,53.0
8100,53.0
9000,53.0
9900,53.0
10800,53.0
11700,53.0
12600,53.0
13500,53.0
14400,53.0
15300,53.0
16200,53.0
17100,53.0
18000,53.0
18900,53.0
19800,53.0
20700,53.0
21600,53.0
22500,53.0
23400,67.38667138685705
24300,259.3866713868571
25200,199.38667138685705
26100,349.8072001012014
27000,270.8072001012014
27900,397.1938714880584
28800,659.3101853682468
29700,404.92022538307884
30600,595.9202253830788
31500,338.5335539962218
32400,401.1938714880584
33300,413.1938714880584
34200,463.1938714880584
35100,463.1938714880584
36000,560.8072001012014
36900,413.8072001012014
37800,493.8072001012014
38700,500.8072001012014
39600,53.0
40500,53.0
41400,53.0
42300,53.0
43200,53.0
44100,277.8072001012014
45000,289.8072001012014
45900,470.8072001012014
46800,442.8072001012014
47700,640.8072001012014
48600,490.3866713868571
49500,655.1938714880584
50400,595.1938714880584
51300,617.1938714880584
52200,2585.8072001012015
53100,3236.8183977577482
54000,3007.8183977577482
54900,473.8072001012014
55800,545.1938714880584
56700,495.1938714880584
57600,555.1938714880584
58500,587.1938714880584
59400,422.8072001012014
60300,567.1938714880584
61200,731.418996260147
62100,691.418996260147
63000,579.418996260147
63900,693.03232487329
64800,654.9342787970804
65700,702.9342787970804
66600,645.9342787970804
67500,541.127078695879
68400,4397.1391820522795
69300,2684.9342787970804
70200,613.9342787970804
71100,1972.2887177427772
72000,492.8072001012014
72900,502.8072001012014
73800,502.8072001012014
74700,2154.0121033564
75600,559.8072001012014
76500,345.1938714880584
77400,493.1938714880584
78300,2451.1938714880584
79200,2450.1938714880584
80100,452.8072001012014
81000,125.0
81900,125.0
82800,125.0
83700,125.0
84600,302.0
85500,620.0
86400,53.0
87300,53.0
88200,53.0
89100,53.0
90000,53.0
90900,53.0
91800,53.0
92700,53.0
93600,53.0
94500,53.0
95400,53.0
96300,53.0
97200,53.0
98100,53.0
99000,53.0
99900,53.0
100800,53.0
101700,53.0
102600,53.0
103500,53.0
104400,53.0
105300,53.0
106200,53.0
107100,228.56998727492567
108000,178.56998727492567
108900,2245.5699872749256
109800,2254.5699872749256
110700,262.56998727492567
111600,312.56998727492567
112500,312.56998727492567
113400,125.0
114300,262.56998727492567
115200,250.56998727492567
116100,2748.361304478269
117000,271.56998727492567
117900,649.7846088064796
118800,286.56998727492567
119700,478.4421768958407
120600,536.5917442319353
121500,536.5917442319353
122400,560.5917442319353
123300,3942.3263051559197
124200,1634.5349879525759
125100,1556.4254098180543
126000,3560.4254098180545
126900,125.0
127800,125.0
128700,125.0
129600,125.0
130500,125.0
131400,125.0
132300,125.0
133200,53.0
134100,53.0
135000,53.0
135900,53.0
136800,53.0
137700,53.0
138600,53.0
139500,53.0
140400,53.0
141300,53.0
142200,53.0
143100,53.0
144000,53.0
144900,53.0
145800,53.0
146700,140.91217882248804
147600,185.91315368356078
148500,227.91315368356078
149400,2308.5709621359983
150300,346.5709621359984
151200,443.56998727492567
152100,1538.7837825077945
153000,1561.7837825077945
153900,652.5699872749257
154800,539.5709621359983
155700,536.5709621359983
156600,620.0
157500,53.0
158400,53.0
159300,53.0
160200,53.0
161100,53.0
162000,191.5709621359984
162900,203.5709621359984
163800,2511.509359133023
164700,2484.4225128165835
165600,315.48314095848644
166500,315.48314095848644
167400,379.72052947209306
168300,306.71955461102027
169200,257.8073757885322
170100,257.8073757885322
171000,53.0
171900,53.0
172800,53.0
173700,174.37327600762916
174600,53.0
175500,53.0
176400,53.0
177300,53.0
178200,53.0
179100,53.0
180000,53.0
180900,53.0
181800,53.0
182700,53.0
183600,53.0
184500,53.0
185400,53.0
186300,53.0
187200,53.0
188100,53.0
189000,165.37327600762916
189900,240.17005778121276
190800,638.9203579890777
191700,53.0
192600,53.0
193500,180.17005778121276
194400,970.8257259844438
195300,53.0
196200,956.0289442108602
197100,979.8257259844438
198000,201.17005778121276
198900,189.17005778121276
199800,578.9203579890777
200700,174.37327600762916
201600,189.17005778121276
202500,206.9605962004805
203400,206.9605962004805
204300,53.0
205200,1036.6162644037115
206100,3076.819482630128
207000,3464.292974018789
207900,368.1700577812128
208800,303.7967817735836
209700,208.79678177358358
210600,366.37327600762916
211500,306.37327600762916
212400,306.37327600762916
213300,543.3732760076291
214200,53.0
215100,53.0
216000,53.0
216900,53.0
217800,53.0
218700,53.0
219600,53.0
220500,53.0
221400,165.37327600762916
222300,165.37327600762916
223200,215.17005778121276
224100,215.17005778121276
225000,224.17005778121276
225900,284.1700577812128
226800,194.37327600762916
227700,221.17005778121276
228600,619.9203579890777
229500,206.9605962004805
230400,241.9605962004805
231300,287.1638144268969
232200,638.9141146347617
233100,312.1638144268969
234000,2301.373276007629
234900,333.1700577812128
235800,220.79678177358358
236700,345.1700577812128
237600,324.1700577812128
238500,329.37327600762916
239400,344.6932405476316
240300,419.49002232121524
241200,239.49002232121524
242100,626.2403225290802
243000,1050.1456905244463
243900,1048.0289442108601
244800,1011.8257259844438
245700,1062.8257259844438
246600,2375.1700577812126
247500,2396.1700577812126
248400,329.37327600762916
249300,389.37327600762916
250200,344.1700577812128
251100,344.1700577812128
252000,344.1700577812128
252900,528.4900223212153
253800,872.4837789668993
254700,232.9072847328538
255600,2259.907284732854
256500,249.58732019285134
257400,125.0
258300,125.0
259200,53.0
260100,53.0
261000,53.0
261900,53.0
262800,53.0
263700,53.0
264600,53.0
265500,53.0
266400,53.0
267300,53.0
268200,53.0
269100,53.0
270000,53.0
270900,53.0
271800,53.0
272700,53.0
273600,53.0
274500,53.0
275400,53.0
276300,53.0
277200,53.0
278100,53.0
279000,53.0
279900,53.0
280800,53.0
281700,53.0
282600,53.0
283500,67.91131831794603
284400,585.0672741007317
285300,254.88171031565463
286200,2321.7453646767535
287100,2241.7453646767535
288000,125.0
288900,223.74536467675358
289800,263.774972679045
290700,203.774972679045
291600,125.0
292500,125.0
293400,302.0
294300,53.0
295200,53.0
296100,53.0
297000,53.0
297900,53.0
298800,53.0
299700,53.0
300600,53.0
301500,53.0
302400,53.0
303300,53.0
304200,53.0
305100,53.0
306000,53.0
306900,53.0
307800,53.0
308700,53.0
309600,53.0
310500,53.0
311400,53.0
312300,53.0
313200,151.91131831794604
314100,173.0
315000,185.0
315900,338.8158537288
316800,2432.8158537288
317700,389.8158537288
318600,361.8158537288
319500,9349.015668450742
320400,558.7271720467461
321300,538.7271720467461
322200,478.72717204674603
323100,436.72717204674603
324000,1305.6952632143355
324900,3302.2939283627916
325800,2068.606942301863
326700,2103.606942301863
327600,582.2612368690434
328500,2510.830294015208
329400,588.095283227851
330300,456.56121840555363
331200,384.6499000876076
332100,361.6499000876076
333000,233.8158537288
333900,153.0
334800,2288.8158537288
335700,2308.8158537288
336600,365.8158537288
337500,445.8158537288
338400,125.0
339300,125.0
340200,245.8158537288
341100,257.8158537288
342000,257.8158537288
342900,53.0
343800,53.0
344700,53.0
